%2A.aln.sam	%2A	sebastes_spp
HH190706-03-23_S278_L001_R1_001.fastq.gz.aln.sam	HH190706-03-23_S278_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-24_S381_L001_R1_001.fastq.gz.aln.sam	HH190706-03-24_S381_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-25_S279_L001_R1_001.fastq.gz.aln.sam	HH190706-03-25_S279_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-27_S280_L001_R1_001.fastq.gz.aln.sam	HH190706-03-27_S280_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-29_S281_L001_R1_001.fastq.gz.aln.sam	HH190706-03-29_S281_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-31_S282_L001_R1_001.fastq.gz.aln.sam	HH190706-03-31_S282_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-33_S283_L001_R1_001.fastq.gz.aln.sam	HH190706-03-33_S283_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-37_S284_L001_R1_001.fastq.gz.aln.sam	HH190706-03-37_S284_L001_R1_001.fastq.gz	sebastes_spp
HH190706-04-46_S285_L001_R1_001.fastq.gz.aln.sam	HH190706-04-46_S285_L001_R1_001.fastq.gz	sebastes_spp
HH190809-01-02_S325_L001_R1_001.fastq.gz.aln.sam	HH190809-01-02_S325_L001_R1_001.fastq.gz	sebastes_spp
HH190809-01-08_S326_L001_R1_001.fastq.gz.aln.sam	HH190809-01-08_S326_L001_R1_001.fastq.gz	sebastes_spp
HH190809-02-06_S327_L001_R1_001.fastq.gz.aln.sam	HH190809-02-06_S327_L001_R1_001.fastq.gz	sebastes_spp
HH190809-03-09_S328_L001_R1_001.fastq.gz.aln.sam	HH190809-03-09_S328_L001_R1_001.fastq.gz	sebastes_spp
HH190809-03-13_S329_L001_R1_001.fastq.gz.aln.sam	HH190809-03-13_S329_L001_R1_001.fastq.gz	sebastes_spp
HH190830-01-04_S341_L001_R1_001.fastq.gz.aln.sam	HH190830-01-04_S341_L001_R1_001.fastq.gz	sebastes_spp
HH190830-01-07_S342_L001_R1_001.fastq.gz.aln.sam	HH190830-01-07_S342_L001_R1_001.fastq.gz	sebastes_spp
HH190830-01-10_S343_L001_R1_001.fastq.gz.aln.sam	HH190830-01-10_S343_L001_R1_001.fastq.gz	sebastes_spp
HH190830-01-13_S344_L001_R1_001.fastq.gz.aln.sam	HH190830-01-13_S344_L001_R1_001.fastq.gz	sebastes_spp
HH190830-02-04_S345_L001_R1_001.fastq.gz.aln.sam	HH190830-02-04_S345_L001_R1_001.fastq.gz	sebastes_spp
HH190830-02-07_S346_L001_R1_001.fastq.gz.aln.sam	HH190830-02-07_S346_L001_R1_001.fastq.gz	sebastes_spp
HH190830-03-01_S347_L001_R1_001.fastq.gz.aln.sam	HH190830-03-01_S347_L001_R1_001.fastq.gz	sebastes_spp
HH190830-04-02_S348_L001_R1_001.fastq.gz.aln.sam	HH190830-04-02_S348_L001_R1_001.fastq.gz	sebastes_spp
HH190830-04-05_S349_L001_R1_001.fastq.gz.aln.sam	HH190830-04-05_S349_L001_R1_001.fastq.gz	sebastes_spp
HH190914-01-02_S355_L001_R1_001.fastq.gz.aln.sam	HH190914-01-02_S355_L001_R1_001.fastq.gz	sebastes_spp
HH190914-04-04_S356_L001_R1_001.fastq.gz.aln.sam	HH190914-04-04_S356_L001_R1_001.fastq.gz	sebastes_spp
HH190914-04-08_S357_L001_R1_001.fastq.gz.aln.sam	HH190914-04-08_S357_L001_R1_001.fastq.gz	sebastes_spp
negative1_S95_L001_R1_001.fastq.gz.aln.sam	negative1_S95_L001_R1_001.fastq.gz	sebastes_spp
